domain,item,item_id,description,lab,field,report
How to use,How to fill this in,_how_to_use,"Write a sentence or two in the `report` column for each item your study reports; leave it blank if the study does not report it; write NA if the item does not apply. Do not edit the other columns, or add or remove rows. Upload the completed file at https://thomas-white.shinyapps.io/instar/ to generate the summary figure (save as CSV first if you are in a spreadsheet).",,,
Framework,INSTAR framework version,instar_version,Version of the INSTAR framework this sheet was written against. Filled in automatically; please do not edit or delete this row.,,,1.0
Paper details,Title,title,Title of the paper this report accompanies.,,,
Paper details,Authors,authors,"Author list, as it appears on the paper.",,,
Paper details,Journal or venue,journal,"Journal or venue, with volume and pages if known.",,,
Paper details,DOI,doi,"DOI of the paper, if it has one.",,,
Subjects,"Taxonomic ID, life stage, & sex",subjects_taxon,Species identification to the lowest practicable taxonomic level (with method); life stage(s) and sex where determinable or relevant; voucher specimens or reference imagery deposited where appropriate.,Y,Y,
Subjects,Source & culture history,subjects_source,"Origin: wild-collected (with locality and date), laboratory colony (founding stock, source, date of establishment), or commercial supplier (named). For captive stock: generations in captivity, rearing conditions, and selection or inbreeding history.",Y,Y,
Subjects,Sample size & attrition,subjects_n,"Total individuals collected or used and number contributing to analysis, with attrition accounted for. Justification of sample size (a priori power, pilot data, or stated convention). For bulk-sampling or mass-rearing work, report order-of-magnitude counts or ranges, and the unit of replication (colony, cycle, trap-day, batch), rather than individual totals.",Y,Y,
Procedures,"Capture, transport, & handling",proc_handling,"Capture method; transport duration, conditions, and mortality. Routine handling and restraint. Marking or tagging method, tag mass where relevant, retention checks. Where individual handling is not practicable (pitfall, Malaise, light, or sticky trapping and similar), report sampling effort (trap-days, trap-nights, deployment volume), trap design and check routine, and measures taken to reduce by-catch, retention time, and trapped-animal suffering.",Y,Y,
Procedures,"Anaesthesia, analgesia, & invasive procedures",proc_anaesthesia,"Anaesthetic or immobilisation agent or method; induction and recovery times; justification. Whether post-procedure analgesia was used, agent and dose, or explicit justification for omission. For surgical/invasive procedures: procedure, instruments, sterility, duration, recovery.",C,C,
Procedures,Containment & biosecurity,proc_biosecurity,Measures to prevent escape (particularly for non-native taxa) and procedures for disposal of waste and contaminated material.,Y,C,
Ethics & Compliance,"Ethics review, permits, & conservation status",ethics_review,"Institutional or regulatory ethics review and permit numbers, or an explicit statement that none was required. Collection or import permits. IUCN, national, or regional conservation status of focal taxa. Country, state, and any translocation between jurisdictions, including distance from point of collection where relevant.",Y,Y,
Ethics & Compliance,Humane endpoints & non-target impacts,ethics_endpoints,"Predefined criteria for terminating procedures or experiments early in response to welfare concerns, and any instances triggered. For field work: anticipated and observed non-target impacts, with mitigation.",Y,Y,
Ethics & Compliance,Welfare & 3Rs statement,ethics_statement,"Brief statement summarising welfare considerations and how the three Rs (Replacement, Reduction, Refinement) informed study design.",Y,Y,
Nutrition,"Diet, feeding, & water",nutrition_diet,Composition and source of diet or bait; preparation; feeding frequency and access; provision of water or moisture; any pre- or post-experimental fasting with justification.,Y,C,
Environment,Housing & abiotic conditions,env_housing,"Enclosure materials, dimensions, substrate, and structural complexity. Stocking density and grouping. Temperature, humidity, ventilation, photoperiod and lighting, and water parameters for aquatic species. Enclosure cleaning frequency and protocol.",Y,C,
Environment,Acclimation,env_acclimation,Duration and conditions of any acclimation period before experimental procedures.,Y,C,
Environment,Field site & collection,env_field,"Habitat type, location, abiotic conditions, and seasonality. Trap design, placement, deployment duration, checking frequency, and measures to limit injury, predation, exposure, or desiccation.",-,Y,
Health,Health monitoring,health_monitoring,"Methods and criteria for assessing physical condition (responsiveness, posture, integument, autotomy). Any screening for disease or parasites and quarantine procedures. Frequency of welfare checks.",Y,C,
Health,Injury & mortality,health_injury,"Number and timing of injuries and unexpected deaths, suspected causes, and any interventions or protocol adjustments. For colony or industrial-scale work where individual death counts are not meaningful (because of scale, cannibalism, or routine attrition), report the disease-screening and prevention regime, density and condition monitoring, and any conditions under which cohort losses triggered intervention or protocol change.",Y,Y,
Health,End of study,fate_end,"Method of killing (euthanasia, sacrifice, or slaughter as contextually appropriate) and justification; release protocols for field-collected animals; continued holding, rehoming, or transfer arrangements; voucher specimen deposition. For mass-rearing work, use the welfare-community terminology for the context (slaughter method for farmed insects). For studies considering release, note the reasoning behind the choice between release, continued holding, rehoming, and slaughter, including disease-spread risk to wild conspecifics and any maladaptation incurred during captivity.",Y,Y,
Behaviour,"Behavioural opportunities, enrichment, & disturbance",behaviour_general,"Aspects of the setup that supported or constrained species-typical behaviour. Provision of refugia or enrichment. Measures to reduce ambient disturbance. For social or gregarious species, access to conspecifics and the structure of social grouping. Opportunities for agency and choice (e.g., control over aspects of the physical or social environment).",Y,Y,
Affective state,Indicators & precautionary measures,affect_indicators,"Taxon-appropriate behavioural and physiological indicators of stress, pain, or distress monitored, and how interpreted. Where capacity for affective experience is uncertain, the precautionary measures adopted.",Y,Y,
