"item_id","n_applicable","n_reported","pct_reported"
"subjects_taxon",150,148,"98.7"
"subjects_source",150,144,"96.0"
"subjects_n",150,144,"96.0"
"proc_handling",150,146,"97.3"
"proc_anaesthesia",67,36,"53.7"
"proc_biosecurity",102,32,"31.4"
"ethics_review",150,76,"50.7"
"ethics_endpoints",150,15,"10.0"
"ethics_statement",150,25,"16.7"
"nutrition_diet",134,112,"83.6"
"env_housing",136,120,"88.2"
"env_acclimation",126,72,"57.1"
"env_field",61,60,"98.4"
"health_monitoring",150,68,"45.3"
"health_injury",150,45,"30.0"
"fate_end",149,70,"47.0"
"behaviour_general",150,114,"76.0"
"affect_indicators",150,48,"32.0"
